id,survey_year,job_title,job_category,experience_level,education_level,country,continent,currency,company_size,industry,employment_type,work_setting,base_salary_usd,annual_bonus_usd,stock_grant_usd,total_compensation_usd,job_satisfaction,years_at_company,primary_skills,ai_adoption_level,gender
1,2023,Data Scientist,Data Science,Mid (3-5 yrs),Master's,France,Europe,EUR,Startup (1-50),Technology,Full-time,Hybrid,112600,5000,34500,152100,2.8,0,JavaScript; Go,Partial,Male
2,2021,Generative AI Engineer,Machine Learning,Mid (3-5 yrs),PhD,Australia,Oceania,AUD,Medium (201-1000),Technology,Full-time,Hybrid,198800,22500,0,221300,4.0,0,Scala; JavaScript; LangChain; PyTorch,Experimenting,Male
3,2022,Backend Developer,Software Engineering,Senior (6-10 yrs),PhD,India,Asia,INR,Large (1001-10000),Healthcare & Pharma,Full-time,Remote,52800,4200,0,57000,3.2,1,Tableau; JavaScript; Airflow; SQL,None,Male
4,2022,Data Analyst,Data Science,Lead (11-15 yrs),PhD,Brazil,South America,BRL,Medium (201-1000),Healthcare & Pharma,Full-time,Remote,50700,1600,0,52300,3.2,2,Power BI; Excel,Experimenting,Female
5,2021,Frontend Developer,Software Engineering,Lead (11-15 yrs),Bachelor's,United States,North America,USD,Large (1001-10000),Technology,Full-time,Hybrid,216500,15200,0,231700,3.2,3,Hadoop; Rust; SQL; JavaScript,AI-First,Male
6,2024,NLP Engineer,Machine Learning,Mid (3-5 yrs),Bachelor's,India,Asia,INR,Enterprise (10000+),Healthcare & Pharma,Full-time,Remote,38000,2000,9800,49800,2.5,0,Tableau; Hadoop; Spark; Go; Scala,Partial,Male
7,2020,Data Engineer,Data Engineering,Entry (0-2 yrs),Master's,United States,North America,USD,Large (1001-10000),E-Commerce & Retail,Full-time,Hybrid,86100,5600,6300,98000,2.8,0,dbt; Kafka,Experimenting,Female
8,2024,Analytics Engineer,Data Engineering,Entry (0-2 yrs),PhD,India,Asia,INR,Medium (201-1000),Healthcare & Pharma,Full-time,On-site,29800,800,0,30600,4.1,0,Azure; Java; Excel,Partial,Female
9,2023,AI Research Scientist,Machine Learning,Entry (0-2 yrs),PhD,United Kingdom,Europe,GBP,Enterprise (10000+),Education & Research,Full-time,Hybrid,110600,5500,40700,156800,4.0,0,OpenCV; Hugging Face; TensorFlow; Go,None,Female
10,2025,Data Analyst,Data Science,Senior (6-10 yrs),Bachelor's,France,Europe,EUR,Enterprise (10000+),Healthcare & Pharma,Freelance,Hybrid,108800,23000,12500,144300,4.4,8,JavaScript; GCP; LangChain; Kafka; Airflow,Experimenting,Male
11,2025,Generative AI Engineer,Machine Learning,Lead (11-15 yrs),Bachelor's,United Kingdom,Europe,GBP,Medium (201-1000),Technology,Full-time,Remote,296600,40100,0,336700,3.2,0,SQL; Airflow,Significant,Male
12,2025,Full Stack Developer,Software Engineering,Mid (3-5 yrs),Bachelor's,United States,North America,USD,Large (1001-10000),Technology,Full-time,On-site,146800,4600,0,151400,3.9,0,Hugging Face; Kubernetes; JavaScript; Java; dbt,Partial,Male
13,2023,Database Administrator,Data Engineering,Senior (6-10 yrs),Master's,United States,North America,USD,Large (1001-10000),Technology,Full-time,Hybrid,190400,20100,63000,273500,3.2,0,Scala; Kubernetes; C++; Rust; Docker,Experimenting,Non-binary
14,2023,Engineering Manager,Management,Senior (6-10 yrs),Bachelor's,United States,North America,USD,Medium (201-1000),Technology,Full-time,Hybrid,333300,41100,0,374400,4.2,3,JavaScript; Hadoop; R; C++; Python,AI-First,Male
