id,survey_year,job_title,job_category,experience_level,education_level,country,continent,currency,company_size,industry,employment_type,work_setting,base_salary_usd,annual_bonus_usd,stock_grant_usd,total_compensation_usd,job_satisfaction,years_at_company,primary_skills,ai_adoption_level,gender,salary_usd,seniority_name,seniority_code,seniority_id,ubicacion_id,work_setting_id,gender_id,tecnologia_principal,tecnologia_id,categoria_principal
1,2023,Data Scientist,Data Science,Mid (3-5 yrs),Master's,France,Europe,EUR,Startup (1-50),Technology,Full-time,Hybrid,112600,5000,34500,152100,2.8,0,JavaScript; Go,Partial,Male,112600,Mid,2.0,2.0,1,2,1.0,JavaScript,1,Frontend
2,2021,Generative AI Engineer,Machine Learning,Mid (3-5 yrs),PhD,Australia,Oceania,AUD,Medium (201-1000),Technology,Full-time,Hybrid,198800,22500,0,221300,4.0,0,Scala; JavaScript; LangChain; PyTorch,Experimenting,Male,198800,Mid,2.0,2.0,2,2,1.0,Scala,2,Otra
3,2022,Backend Developer,Software Engineering,Senior (6-10 yrs),PhD,India,Asia,INR,Large (1001-10000),Healthcare & Pharma,Full-time,Remote,52800,4200,0,57000,3.2,1,Tableau; JavaScript; Airflow; SQL,,Male,52800,Senior,3.0,3.0,3,1,1.0,Tableau,3,Data
4,2022,Data Analyst,Data Science,Lead (11-15 yrs),PhD,Brazil,South America,BRL,Medium (201-1000),Healthcare & Pharma,Full-time,Remote,50700,1600,0,52300,3.2,2,Power BI; Excel,Experimenting,Female,50700,Lead,4.0,4.0,4,1,2.0,Power BI,4,Data
5,2021,Frontend Developer,Software Engineering,Lead (11-15 yrs),Bachelor's,United States,North America,USD,Large (1001-10000),Technology,Full-time,Hybrid,216500,15200,0,231700,3.2,3,Hadoop; Rust; SQL; JavaScript,AI-First,Male,216500,Lead,4.0,4.0,5,2,1.0,Hadoop,5,Data
6,2024,NLP Engineer,Machine Learning,Mid (3-5 yrs),Bachelor's,India,Asia,INR,Enterprise (10000+),Healthcare & Pharma,Full-time,Remote,38000,2000,9800,49800,2.5,0,Tableau; Hadoop; Spark; Go; Scala,Partial,Male,38000,Mid,2.0,2.0,3,1,1.0,Tableau,3,Data
7,2020,Data Engineer,Data Engineering,Entry (0-2 yrs),Master's,United States,North America,USD,Large (1001-10000),E-Commerce & Retail,Full-time,Hybrid,86100,5600,6300,98000,2.8,0,dbt; Kafka,Experimenting,Female,86100,Junior,1.0,1.0,5,2,2.0,dbt,6,Database
8,2024,Analytics Engineer,Data Engineering,Entry (0-2 yrs),PhD,India,Asia,INR,Medium (201-1000),Healthcare & Pharma,Full-time,On-site,29800,800,0,30600,4.1,0,Azure; Java; Excel,Partial,Female,29800,Junior,1.0,1.0,3,3,2.0,Azure,7,Cloud
9,2023,AI Research Scientist,Machine Learning,Entry (0-2 yrs),PhD,United Kingdom,Europe,GBP,Enterprise (10000+),Education & Research,Full-time,Hybrid,110600,5500,40700,156800,4.0,0,OpenCV; Hugging Face; TensorFlow; Go,,Female,110600,Junior,1.0,1.0,6,2,2.0,OpenCV,8,AI/ML
10,2025,Data Analyst,Data Science,Senior (6-10 yrs),Bachelor's,France,Europe,EUR,Enterprise (10000+),Healthcare & Pharma,Freelance,Hybrid,108800,23000,12500,144300,4.4,8,JavaScript; GCP; LangChain; Kafka; Airflow,Experimenting,Male,108800,Senior,3.0,3.0,1,2,1.0,JavaScript,1,Frontend
